INSTNM,CITY,STABBR,PREDDEG,CONTROL,LOCALE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,NPT4_PUB,NPT4_PRIV,PCTPELL,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25abv,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_4_POOLED_SUPP,C200_L4_POOLED_SUPP,md_earn_wne_p10,gt_25k_p6
Trinity College of Florida,Trinity,FL,3,2,21,,,,,,,,,0,222,0.5045,0.2252,0.2027,0.0135,0,0,0.0045,0.0225,0.027,0.0901,,15563,0.566,0.6071,,0,,0.6557,0.4286,23000,255.34715,0.673076923,0.48001,,31700,0.425287366
Hampton University,Hampton,VA,3,2,12,505,500,,21,21,21,,990,0,3529,0.0315,0.932,0.0113,0.0096,0.0011,0,0,0.0145,0,0.053,,23373,0.3912,0.7554,,0.75,,0.2978,0.1072,27474,305.0177217,0.678118393,0.634160079,,42200,0.644176126
Empire Beauty School-Dixie,Louisville,KY,1,3,11,,,,,,,,,0,123,0.1789,0.748,0,0,0,0,0.0163,0,0.0569,0.1301,,12096,0.8545,,0.7826,,0.2,0.7136,0.3902,8275,91.86946375,0.669099757,,0.390740397,14800,0.224137932
Borner's Barber College,Los Angeles,CA,1,3,11,,,,,,,,,0,23,0.087,0.6522,0.2609,0,0,0,0,0,0,0.8261,,,0.8276,,1,,0.3,0,0.8261,,,PrivacySuppressed,,PrivacySuppressed,,
ITT Technical Institute-Lake Mary,Lake Mary,FL,2,3,21,,,,,,,,,0,269,0.5316,0.223,0.1636,0.0223,0.0074,0,0.0149,0,0.0372,0.3197,,23072,0.6796,,,,,0.8343,0.8401,25833.5,286.8048087,0.394119686,0.35041453,,38400,0.591855824
Hays Academy of Hair Design,Salina,KS,1,3,33,,,,,,,,,0,63,0.7937,0,0.1111,0,0.0159,0,0.0159,0.0159,0.0476,0,,11858,0.7922,,0.8182,,,0.8182,0.3175,9833,109.1664577,0.674698795,,,,
American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA,2,2,11,,,,,,,,,0,258,0.4612,0.0775,0.1512,0.0116,0.0233,0.0039,0.0271,0.2248,0.0194,0,,41436,0.4163,,0.633,,,0.5701,0.1589,13240,146.991142,0.681818182,,0.634754783,30200,0.416666657
Troy University-Phenix City Campus,Phenix City,AL,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26000,288.6533,0.543508214,,,36600,0.613958538
The College of Wooster,Wooster,OH,3,2,32,610,605,605,28,28,26,8,1231,0,2070,0.7188,0.0792,0.0401,0.0338,0.0145,0.001,0,0.0725,0.0401,0.0048,,21455,0.1938,0.8709,,,,0.5144,0.008,25500,283.102275,0.9125,0.753638017,,44400,0.660766959
University of Baltimore,Baltimore,MD,3,1,11,480,460,455,,,,,940,0,3479,0.3521,0.4622,0.0471,0.0443,0.0046,0.002,0.031,0.0216,0.0351,0.4076,16780,,0.4264,0.6744,,1,,0.5768,0.5085,20500,227.592025,0.684303351,0.3759,,58000,0.824536383
Northwestern Michigan College,Traverse City,MI,2,1,33,,,,,,,,,0,4241,0.863,0.0257,0.0116,0.02,0.0054,0.0007,0.0217,0.0047,0.0472,0.5513,8333,,0.4131,,,,,0.3904,0.3597,15888,176.3893704,0.620921802,0.1519,,28200,0.446093738
Strayer University-Cincinnati Campus,Cincinnati,OH,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39499.5,438.525424,0.444774917,,,,
Gulf Coast State College,Panama City,FL,2,1,13,,,,,,,,,0,3643,0.7354,0.1156,0.0554,0.0266,0.0049,0,0.0327,0.0011,0.0283,0.5446,5057,,0.4284,,,,,0.1821,0.4253,6985,77.54781925,0.589350181,0.348882822,,29900,0.46069181
Regency Beauty Institute-Aurora,Aurora,IL,1,3,21,,,,,,,,,0,129,0.2481,0.1318,0.124,0.0155,0,0.0078,0.0698,0,0.4031,0.3178,,20569,0.686,,0.4444,,0.7273,0.8261,0.2016,14144,157.0273952,0.47496977,,0.470022,19600,0.333333343
Denmark Technical College,Denmark,SC,1,1,41,,,,,,,,,0,1804,0.0222,0.9723,0.0028,0.0006,0.0006,0,0,0,0.0017,0.2206,6634,,0.798,,0.3652,,0.3784,0.6718,0.4978,6500,72.163325,0.276315789,,0.14306813,16800,0.173349053
Milan Institute of Cosmetology-El Paso,El Paso,TX,1,3,11,,,,,,,,,0,458,0.0502,0.0459,0.8908,0.0044,0.0087,0,0,0,0,0,,15270,0.4511,,0.5636,,,0.4466,0.4847,14252,158.2264166,0.291276491,,,18900,0.228511527
Scioto County Career Technical Center,Lucasville,OH,1,1,41,,,,,,,,,0,321,1,0,0,0,0,0,0,0,0,0.1246,15816,,0.3411,,0.6481,,0.6129,0.3021,0.6885,7600,84.37558,0.586466165,,0.640255556,26100,0.42592594
Westwood College-Anaheim,Anaheim,CA,3,3,11,,,,,,,,,0,772,0.1826,0.0168,0.1891,0.0324,0.0078,0.0078,0.0972,0,0.4663,0.2694,,21207,0.7884,0.6087,,1,,0.8367,0.3756,38747.5,430.1766824,0.471415292,0.488014671,,35000,0.544390082
University of Phoenix-Austin Campus,Austin,TX,3,3,11,,,,,,,,,0,704,0.1776,0.2401,0.1591,0.0043,0.0028,0.0071,0.0213,0.0085,0.3793,0,,19745,0.5522,0.4359,,,,0.5174,0.8793,35500,394.122775,0.406534043,0.107843137,,53400,0.705231071
Ozarks Technical Community College,Springfield,MO,2,1,12,,,,,,,,,0,13087,0.8955,0.0322,0.0313,0.0096,0.0074,0,0.0015,0.0002,0.0224,0.4731,8091,,0.5715,,0.5913,,0.4096,0.6914,0.3873,14250,158.2042125,0.543905636,,0.228854372,27500,0.44152227
The Temple-A Paul Mitchell Partner School,Frederick,MD,1,3,13,,,,,,,,,0,216,0.7824,0.1111,0.0417,0.0046,0.0046,0,0.0046,0,0.0509,0,,18363,0.3681,,0.9268,,,0.5521,0.2546,16499,183.172723,0.62962963,,0.90415,,
Warren County Community College,Washington,NJ,2,1,41,,,,,,,,,0,1444,0.7729,0.0755,0.0921,0.0284,0.0042,0.0007,0,0,0.0263,0.4855,7969,,0.2896,,0.6051,,0.3943,0.1488,0.2137,9800,108.80009,0.781420765,,0.311326415,31300,0.517241359
Everest Institute-Dearborn,Dearborn,MI,1,3,13,,,,,,,,,0,666,0.3018,0.5165,0.0691,0.009,0.0045,0.0045,0.0375,0,0.0571,0,,25387,0.7579,,0.5738,,,0.6323,0.4715,9500,105.469475,0.246345531,,0.640908091,21200,0.30776757
American Conservatory Theater,San Francisco,CA,1,2,11,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PrivacySuppressed,,,PrivacySuppressed,PrivacySuppressed
Clemson University,Clemson,SC,3,1,21,610,635,550,29,,,,1259,0,16801,0.836,0.0626,0.0259,0.0177,0.0015,0.001,0.0211,0.0082,0.026,0.0481,12377,,0.1782,0.9194,,0.6429,,0.4174,0.0393,22388.5,248.5582464,0.936026023,0.820604838,,49400,0.740391314
Halifax Community College,Weldon,NC,1,1,41,,,,,,,,,0,1197,0.381,0.5372,0.0175,0.0017,0.0242,0,0.0142,0.0092,0.015,0.4536,3148,,0.7331,,0.5833,,0.1923,0.2596,0.4383,7618,84.5754169,0.270833333,,0.29004225,21500,0.37869823
Houghton Lake Institute of Cosmetology,Houghton Lake,MI,1,3,33,,,,,,,,,0,14,0.9286,0,0.0714,0,0,0,0,0,0,0.5714,,5218,0.7931,,0.8,,1,0,0.3571,,,,,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
American College of Traditional Chinese Medicine,San Francisco,CA,4,2,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,,,PrivacySuppressed,PrivacySuppressed
AmeriTech College-Draper,Draper,UT,2,3,21,,,,,,,,,0,1036,0.5328,0.3668,0.0531,0.0048,0.0097,0.0039,0.0106,0,0.0183,0,,32424,0.5858,,,,,0.6614,0.8098,24240,269.113692,0.793565684,0.7727,,23800,0.491525412
Pima Medical Institute-Tucson,Tucson,AZ,1,3,11,,,,,,,,,0,1726,0.4334,0.0603,0.3917,0.0429,0.0139,0.0064,0.0365,0.0023,0.0127,0,,16972,0.4898,0.8056,,,,0.6147,0.6153,9498,105.4472709,0.614709852,0.657440957,,27600,0.512696266
Miami Lakes Educational Center,Miami Lakes,FL,1,1,21,,,,,,,,,0,1158,0.1874,0.4775,0.3238,0.006,0,0,0.0052,0,0,0.3549,9011,,0.2675,,0.8032,,0.8984,0,0.1891,,,PrivacySuppressed,,0.244164335,31700,0.46808511
Providence College,Providence,RI,3,2,12,570,585,585,26,,,,1158,0,3969,0.7667,0.0411,0.0675,0.0118,0.0013,0.0018,0.0154,0.0186,0.0758,0.0448,,34841,0.1341,0.9078,,,,0.5326,0.0689,27000,299.75535,0.956594324,0.858891103,,59600,0.831275702
Pima Medical Institute-Albuquerque West,Albuquerque,NM,1,3,11,,,,,,,,,0,103,0.301,0.0291,0.534,0.0097,0.1068,0,0.0194,0,0,0,,18008,0.755,,0.7556,,,0.8609,0.534,8708,96.6766514,0.411764706,,0.716236486,,PrivacySuppressed
Good Samaritan College of Nursing and Health Science,Cincinnati,OH,2,2,11,,,,21,20,20,,970,0,355,0.8873,0.0789,0.0113,0.0169,0,0,0.0056,0,0,0.5831,,23815,0.4836,,,,,0.806,0.4789,22375,248.4083688,0.855721393,PrivacySuppressed,,44000,0.802547753
Northwest Kansas Technical College,Goodland,KS,1,1,33,,,,,,,,,0,391,0.509,0.1202,0.2916,0.0102,0.0077,0.0026,0.0281,0.0128,0.0179,0.0179,9420,,0.3725,,0.662,,0.5,0.4902,0.2173,9500,105.469475,0.75708502,,0.772041337,37700,0.609375
SOLEX Medical Academy,Wheeling,IL,1,3,21,,,,,,,,,0,17,0.5294,0.0588,0.3529,0.0588,0,0,0,0,0,0.5294,,14610,0.4412,,,,,0.5294,0.7059,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,,0.823544118,,
Paul Mitchell the School-Phoenix,Phoenix,AZ,1,3,11,,,,,,,,,0,187,0.5294,0.0481,0.4064,0.0053,0,0.0053,0,0,0.0053,0.262,,17496,0.4461,,0.8,,0.7778,0.5985,0.2995,15751.5,174.8739406,PrivacySuppressed,,0.738754054,,
Westminster College,Fulton,MO,3,2,32,470,540,475,24,25,23,8,1090,0,1022,0.6644,0.0587,0.0323,0.0108,0.0245,0.001,0.0108,0.1732,0.0245,0.0059,,18948,0.2844,0.7799,,,,0.7596,0.0273,27000,299.75535,0.828908555,0.696592814,,41500,0.632478654
Cuyahoga Community College District,Cleveland,OH,2,1,11,,,,,,,,,0,14357,0.5361,0.3072,0.0504,0.0199,0.0075,0,0.0054,0.0166,0.0569,0.6125,5832,,0.4696,,0.4751,,0.3417,0.2578,0.4933,10335.5,114.7452378,0.420219853,,0.063685441,27600,0.411674827
Razzle Dazzle College of Hair Design Inc,Nampa,ID,1,3,22,,,,,,,,,0,117,0.8034,0,0.1795,0,0,0,0.0171,0,0,0,,15420,0.5673,,0.5263,,,0.5962,0.4188,12910,143.3274655,0.56779661,,0.87096129,15800,0.140625
Sanford-Brown Institute-New York,New York,NY,1,3,11,,,,,,,,,0,1479,0.0554,0.3509,0.1109,0.0216,0.0068,0.0176,0.0027,0,0.4341,0.0446,,17846,0.5435,,0.6734,,,0.5956,0.501,9500,105.469475,0.421609872,,0.626871389,27200,0.493848562
ICDC College,Huntington Park,CA,1,3,21,,,,,,,,,0,3265,0.2012,0.4689,0.2447,0.007,0.0067,0.0021,0.041,0,0.0282,0.0806,,23870,0.9436,,0.6674,,0.7887,0.96,0.6763,9500,105.469475,0.239787234,,0.718182355,20800,0.307785153
Cloud County Community College,Concordia,KS,1,1,41,,,,,,,,,0,1296,0.7106,0.1157,0.0995,0.0116,0.0077,0.0008,0.0394,0.0131,0.0015,0.3434,5367,,0.3088,,0.5507,,0.175,0.1914,0.2407,9000,99.91845,0.638636364,,0.230240698,30500,0.49594596
Houston Baptist University,Houston,TX,3,2,11,525,540,505,24,23,23,7,1075,0,2165,0.2776,0.1921,0.2605,0.1275,0.0037,0.0023,0.0739,0.036,0.0263,0.0744,,19784,0.4868,0.6284,,0.75,,0.5765,0.1041,25000,277.55125,0.68452381,0.440858592,,43600,0.65934068
Expression College for Digital Arts,Emeryville,CA,3,3,21,,,,,,,,,0,574,0.1951,0.0592,0.0662,0.0488,0,0.007,0.0436,0.0035,0.5767,0,,25829,0.4768,0.8378,,,,0.6072,0.3955,40000,444.082,0.671052632,0.485641379,,,0.605898142
Sanford-Brown Institute-Tampa,Tampa,FL,1,3,21,,,,,,,,,0,317,0.0631,0.0599,0.0189,0.0032,0.0032,0,0.0063,0,0.8454,0,,14329,0.5603,,0.7188,,,0.6094,0.4858,9500,105.469475,0.409117821,,0.596397059,28300,0.524061024
CET-Chicago,Chicago,IL,1,2,11,,,,,,,,,0,209,0.0144,0.8852,0.0957,0,0.0048,0,0,0,0,0,,11160,0.8051,,0.8248,,,0.6624,0.488,5450,60.5061725,0.340693196,,0.829885915,21600,0.354960531
International Professional School of Bodywork,San Diego,CA,1,3,11,,,,,,,,,0,165,0.5333,0.0545,0.1455,0.0242,0.0242,0,0.1212,0,0.097,0.7636,,,0.5064,,,,0.5,0.7124,0.7907,23500,260.898175,0.626373626,,PrivacySuppressed,,
RGV Careers,Pharr,TX,1,3,21,,,,,,,,,0,223,0.0493,0,0.9417,0.009,0,0,0,0,0,0,,15008,0.4242,,1,,1,0.2992,0.565,9033,100.2848177,,,,,
Southwest Baptist University,Bolivar,MO,3,2,32,475,495,,23,23,23,,1062,0,2515,0.8231,0.0525,0.0151,0.0083,0.0072,0.0028,0.0119,0,0.0791,0.2147,,17344,0.4257,0.6358,,0.6585,,0.5813,0.2454,21220,235.585501,0.7864,0.528456794,,32800,0.557759643
Strayer University-Nashville Campus,Nashville,TN,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39499.5,438.525424,0.444774917,,,51700,0.722576857
Sullivan College of Technology and Design,Louisville,KY,2,3,21,,,,,,,,,0,368,0.6875,0.1549,0,0.0082,0.0054,0.0027,0.1196,0,0.0217,0.3533,,29297,0.7133,,,,,0.8731,0.4908,25500,283.102275,0.527987897,0.487260169,,33300,0.540130138
Westwood College-O'Hare Airport,Chicago,IL,3,3,11,,,,,,,,,0,298,0.3658,0.1477,0.1309,0.0336,0.0067,0.0034,0.0772,0,0.2349,0.2282,,24827,0.7715,0.2941,,,,0.7358,0.6544,31126,345.5624083,0.342411038,0.378487006,,32400,0.493514925
Gem City College,Quincy,IL,1,3,33,,,,,,,,,0,44,0.9545,0.0455,0,0,0,0,0,0,0,0,,11226,0.7538,,0.7727,,,0.6923,0.5455,PrivacySuppressed,PrivacySuppressed,0.472727273,,0.673057692,14200,0.346153855
Academy of Salon and Spa,Fort Smith,AR,1,3,13,,,,,,,,,0,75,0.7867,0.0133,0.08,0.04,0.08,0,0,0,0,0,,15696,0.6746,,0.7813,,,0.619,0.3467,9500,105.469475,0.42519685,,0.606706667,PrivacySuppressed,PrivacySuppressed
Yeshivath Beth Moshe,Scranton,PA,0,2,13,,,,,,,,,0,52,1,0,0,0,0,0,0,0,0,0,,5861,0.3396,0.9286,,,,0.4151,,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.685705714,,PrivacySuppressed,PrivacySuppressed
Upper Cape Cod Regional Technical School,Bourne,MA,1,1,22,,,,,,,,,0,59,0.7966,0,0.0678,0,0.0169,0,0.1186,0,0,0,20928,,0.5254,,1,,,0.7966,0.7119,9500,105.469475,0.586206897,,0.913392126,PrivacySuppressed,PrivacySuppressed
The College of Health Care Professions-Southwest Houston,Houston,TX,1,3,11,,,,,,,,,0,229,0.1223,0.4105,0.4148,0.0349,0.0131,0,0.0044,0,0,0,,20870,0.7771,,0.8272,,,0.7977,0.4236,9500,105.469475,0.466543892,,0.623926549,27100,0.453333348
Iowa Western Community College,Council Bluffs,IA,2,1,13,,,,,,,,,0,5097,0.7446,0.1169,0.0708,0.0112,0.0194,0.0026,0.0018,0.0163,0.0165,0.3208,10382,,0.3974,,0.4601,,0.3443,0.5652,0.2466,11718.5,130.0993729,0.62878518,,0.239356029,34100,0.533957839
Cain's Barber College Inc,Chicago,IL,1,3,11,,,,,,,,,0,85,0,0.9647,0.0353,0,0,0,0,0,0,0.1412,,8184,0.7284,,0.4545,,0,0.5309,0.7412,4475,49.68167375,,,0.438501604,15200,0.301724136
Rudae's School of Beauty Culture-Ft Wayne,Fort Wayne,IN,1,3,11,,,,,,,,,0,138,0.8406,0.0797,0.0217,0,0.0072,0,0.0217,0,0.029,0.1884,,11327,0.5271,,1,,0.5,0.6404,0.2826,9500,105.469475,0.785953177,,0.812088591,13600,0.207253888
The Art Institute of California-Argosy University Orange County,Santa Ana,CA,3,3,11,,,,,,,,,0,1761,0.1454,0.0176,0.3685,0.071,0.0017,0.0074,0.0256,0,0.3629,0.46,,25338,0.6271,0.5575,,0.3148,,0.8344,0.3481,14323,159.0146622,0.370393247,0.364837051,,38200,0.698424041
North-West College-Pomona,Pomona,CA,1,3,21,,,,,,,,,0,280,0.0786,0.0857,0.7321,0.0321,0,0,0,0,0.0714,0,,20043,0.8522,,0.8,,,0.9251,0.3107,8023.5,89.07729818,0.596209913,,0.729363148,21700,0.516616285
Sanford-Brown Institute-Trevose,Trevose,PA,1,3,21,,,,,,,,,0,161,0.4596,0.3043,0.1366,0.0435,0,0,0.0062,0,0.0497,0.0311,,,0.5501,,,,,0.6345,0.5342,9500,105.469475,0.421609872,,0.566662667,27200,0.493848562
Los Angeles Mission College,Sylmar,CA,2,1,11,,,,,,,,,0,7931,0.115,0.0316,0.744,0.0547,0.0016,0.0009,0.0116,0.0115,0.029,0.7613,7405,,0.3372,,0.6953,,0.5213,0.0352,0.3527,PrivacySuppressed,PrivacySuppressed,0.372413793,,0.205398563,28900,0.473242402
Wichita State University,Wichita,KS,3,1,11,525,550,,24,23,23,,1089,0,11198,0.6516,0.0597,0.0914,0.0695,0.0088,0.0016,0.0253,0.0561,0.036,0.235,13342,,0.3595,0.7449,,0.3846,,0.5022,0.2883,21750,241.4695875,0.798867497,0.438987094,,39300,0.667185664
Saint Elizabeth School of Nursing,Lafayette,IN,1,2,13,465,475,460,,,,,940,0,269,0.9145,0.0483,0.0297,0,0.0037,0.0037,0,0,0,0.2119,,26617,0.4743,,0.75,,,0.8577,0.4721,31250,346.9390625,0.883211679,,0.500005882,41800,0.783333361
King's College,Wilkes-Barre,PA,3,2,13,,,,,,,,,0,1987,0.7952,0.0267,0.0689,0.0201,0.0015,0.001,0.0186,0.0015,0.0664,0.0332,,24541,0.2917,0.7563,,,,0.766,0.056,27000,299.75535,0.879604672,0.66991607,,48900,0.740648389
P B Cosmetology Education Center,Gloucester,NJ,1,3,21,,,,,,,,,0,180,0.6778,0.1111,0.1556,0.0111,0,0,0.0444,0,0,0.2778,,17473,0.3936,,0.8333,,1,0.6028,0.2722,10208.5,113.3352774,0.67578125,,0.74735614,21600,0.270000011
CET-El Centro,El Centro,CA,1,2,13,,,,,,,,,0,234,0.0171,0.0085,0.9658,0,0.0085,0,0,0,0,0,,-264,0.4565,,0.8519,,,0.0783,0.5897,5450,60.5061725,0.340693196,,0.903872093,21600,0.354960531
Piedmont Community College,Roxboro,NC,1,1,41,,,,,,,,,0,1338,0.5949,0.3438,0.0247,0.0037,0.0045,0.0007,0.012,0,0.0157,0.4813,9878,,0.516,,0.6402,,0.4143,0.1407,0.4356,9500,105.469475,PrivacySuppressed,,0.482352643,23700,0.344186038
Lincoln Technical Institute-East Windsor,East Windsor,CT,1,3,41,,,,,,,,,0,655,0.5893,0.0962,0.1328,0.0183,0.0031,0.0046,0.1023,0,0.0534,0.3038,,17544,0.5396,,0.8321,,0.7143,0.8176,0.1832,11813,131.1485167,0.488564799,,0.630192853,37300,0.650826454
SUNY Broome Community College,Binghamton,NY,2,1,22,,,,,,,,,0,5425,0.6811,0.0221,0.0439,0.0055,0.0011,0.0002,0.0017,0.0361,0.2083,0.2385,5869,,0.4827,,0.5888,,0.4286,0.4777,0.3276,11477,127.4182279,0.651528384,,0.31615097,31000,0.442491204
Delaware Technical Community College-Stanton/Wilmington,Wilmington,DE,2,1,13,,,,,,,,,0,6492,0.5106,0.2785,0.1034,0.0442,0.004,0.0025,0.0222,0.0199,0.0148,0.6043,4963,,0.325,,0.5982,,0.3394,0.1531,0.3842,7000,77.71435,0.707187223,,0.113232331,33500,0.575414121
West Virginia State University,Institute,WV,3,1,22,450,425,420,20,20,19,,942,0,2195,0.4615,0.1171,0.0055,0.0036,0.0055,0,0,0.0055,0.4014,0.1535,8505,,0.4612,0.5176,,0.5,,0.5265,0.3139,23787.5,264.0900144,0.599637681,0.20566383,,29500,0.449814141
Cleveland State University,Cleveland,OH,3,1,11,510,520,,22,22,22,,1030,0,11484,0.6276,0.1919,0.0489,0.0245,0.0021,0.0011,0.0269,0.0477,0.0293,0.2261,16750,,0.4344,0.6721,,0.5789,,0.6316,0.3078,24000,266.4492,0.692537909,0.327088119,,39300,0.636117578
Seattle Community College-North Campus,Seattle,WA,2,1,11,,,,,,,,,0,2752,0.4357,0.0756,0.0618,0.0948,0.0036,0.0036,0.0796,0.1116,0.1337,0.5058,2864,,0.1538,,,,,0.0012,0.6133,PrivacySuppressed,PrivacySuppressed,,0.2458,,34500,0.552238822
International Academy of Design and Technology-San Antonio,San Antonio,TX,3,3,11,,,,,,,,,0,356,0.1292,0.0871,0.3034,0.0112,0.0028,0.0028,0.0112,0,0.4522,0.2163,,19192,0.8074,0.25,,0.5,,0.9513,0.5871,29375,326.1227188,0.388268499,0.2,,27800,0.466301501
L'Ecole Culinaire-Kansas City,Kansas City,MO,0,3,11,,,,,,,,,0,73,0.2329,0.589,0.0274,0,0.0137,0.0137,0.0685,0,0.0548,0,,,,,,,,,0.6849,22155,245.9659178,0.306055646,,,,
Edison State College,Fort Myers,FL,2,1,21,,,,,,,,,0,12850,0.5377,0.1237,0.2525,0.0174,0.0038,0.0021,0.0119,0.016,0.035,0.6329,11702,,0.3995,,,,,0.2507,0.356,9750,108.2449875,0.611968385,0.295255712,,32300,0.556291401
