,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,INSTNM,CITY,STABBR,PREDDEG,CONTROL,LOCALE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,NPT4_PUB,NPT4_PRIV,PCTPELL,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25abv,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_4_POOLED_SUPP,C200_L4_POOLED_SUPP,md_earn_wne_p10,gt_25k_p6
172,136,422,2549,2549,Institute of American Indian and Alaska Native Culture,Santa Fe,NM,3,1,41.0,,,,,,,,,0.0,225.0,0.04,0.0,0.0267,0.0089,0.8578,0.0044,0.0,0.0444,0.0178,0.28,10181.0,,0.3944,0.6923,,1.0,,0.0,0.3546,PrivacySuppressed,PrivacySuppressed,0.457142857,0.268319512,,21300,0.210526317
68,249,221,2510,2510,P B Cosmetology Education Center,Gloucester,NJ,1,3,21.0,,,,,,,,,0.0,180.0,0.6778,0.1111,0.1556,0.0111,0.0,0.0,0.0444,0.0,0.0,0.2778,,17473.0,0.3936,,0.8333,,1.0,0.6028,0.2722,10208.5,113.3352774,0.67578125,,0.74735614,21600,0.270000011
23,393,443,221,221,American Conservatory Theater,San Francisco,CA,1,2,11.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,PrivacySuppressed,,,PrivacySuppressed,PrivacySuppressed
37,199,294,2333,2333,Westminster College,Fulton,MO,3,2,32.0,470.0,540.0,475.0,24.0,25.0,23.0,8.0,1090.0,0.0,1022.0,0.6644,0.0587,0.0323,0.0108,0.0245,0.001,0.0108,0.1732,0.0245,0.0059,,18948.0,0.2844,0.7799,,,,0.7596,0.0273,27000,299.75535,0.828908555,0.696592814,,41500,0.632478654
249,216,258,691,691,Metropolitan State University of Denver,Denver,CO,3,1,11.0,525.0,540.0,,21.0,20.0,20.0,,973.0,0.0,21696.0,0.6064,0.0604,0.2095,0.0342,0.0073,0.0026,0.0338,0.0046,0.0412,0.3994,10586.0,,0.3851,0.6579999999999999,,0.4757,,0.512,0.4505,25000,277.55125,0.70956584,0.254927534,,38600,0.622741282
67,222,425,3519,3519,King's College,Wilkes-Barre,PA,3,2,13.0,,,,,,,,,0.0,1987.0,0.7952,0.0267,0.0689,0.0201,0.0015,0.001,0.0186,0.0015,0.0664,0.0332,,24541.0,0.2917,0.7563,,,,0.7659999999999999,0.056,27000,299.75535,0.879604672,0.66991607,,48900,0.740648389
268,259,416,430,430,Los Angeles Harbor College,Wilmington,CA,2,1,11.0,,,,,,,,,0.0,8719.0,0.1364,0.1215,0.569,0.1038,0.0021,0.0095,0.029,0.006,0.0228,0.7127,8346.0,,0.3478,,0.6898,,0.5411,0.0146,0.3357,5542,61.5275611,0.5703125,,0.252810754,29700,0.485398591
146,274,98,2495,2495,Lincoln Technical Institute-Union,Union,NJ,1,3,21.0,,,,,,,,,0.0,1171.0,0.2297,0.35700000000000004,0.3049,0.0359,0.0026,0.0017,0.0529,0.0017,0.0137,0.1691,,15421.0,0.6661,,0.8015,,0.6098,0.7398,0.3313,12473.5,138.4814207,0.42204644,,0.575730367,37300,0.55259937
125,202,112,1498,1498,Central Christian College of Kansas,McPherson,KS,3,2,33.0,440.0,485.0,,21.0,20.0,22.0,,970.0,0.0,765.0,0.5451,0.1804,0.0797,0.0078,0.0118,0.0092,0.0118,0.0209,0.1333,0.034,,19630.0,0.6166,0.6261,,,,0.7411,0.4243,21035,233.5316218,0.811594203,0.473391489,,31100,0.485029936
176,120,375,5190,5190,Capri Institute of Hair Design-Kenilworth,Kenilworth,NJ,1,3,21.0,,,,,,,,,0.0,153.0,0.3987,0.2026,0.3595,0.0327,0.0,0.0,0.0,0.0,0.0065,0.281,,21731.0,0.348,,0.8421,,1.0,0.4291,0.4444,7722,85.7300301,0.647887324,,0.732564535,22300,0.434782594
86,6,211,2826,2826,SUNY College of Agriculture and Technology at Cobleskill,Cobleskill,NY,2,1,32.0,495.0,495.0,,19.0,,,,975.0,0.0,2411.0,0.7623,0.1107,0.0966,0.0124,0.0033,0.0,0.0,0.0137,0.0008,0.061,15280.0,,0.4835,0.7405,,,,0.695,0.1027,17750,197.0613875,0.766015201,0.321356375,,34800,0.514307797
284,315,236,2111,2111,Metropolitan State University,Saint Paul,MN,3,1,11.0,,,,,,,,,0.0,7322.0,0.5986,0.1648,0.0444,0.1162,0.0071,0.0008,0.0412,0.0152,0.0116,0.6142,12314.0,,0.4156,0.6119,,0.5385,,0.5207,0.7164,18750,208.1634375,0.804911323,0.34283619,,43600,0.760304391
281,264,524,2182,2182,Delta Beauty College,Greenville,MS,1,3,33.0,,,,,,,,,0.0,50.0,0.1,0.88,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,,4072.0,0.6111,,0.5,,,0.0,0.48,,,,,0.638922222,14400,0.139784947
285,88,114,672,672,Empire Beauty School-Lakewood,Lakewood,CO,1,3,12.0,,,,,,,,,0.0,62.0,0.4677,0.1129,0.3548,0.0161,0.0161,0.0,0.0,0.0,0.0323,0.0,,13059.0,0.8039,,0.619,,,0.7059,0.5968,9046.5,100.4346953,0.386120996,,0.4341,24000,0.327868849
202,51,66,3395,3395,Corban University Puget Sound Campus,Tacoma,WA,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24493,271.9225107,0.895424837,,,34200,0.562326849
254,212,164,746,746,Mitchell College,New London,CT,3,2,13.0,,,,,,,,,0.0,802.0,0.6983,0.1359,0.0773,0.0212,0.0125,0.0,0.0474,0.0075,0.0,0.0686,,28585.0,0.338,0.6483,,1.0,,0.6923,0.0889,26708,296.5135514,0.704761905,0.396545474,,29800,0.486013979
152,11,154,7798,7798,American College of Healthcare,Huntington Park,CA,0,3,21.0,,,,,,,,,0.0,73.0,0.0,0.0822,0.9178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8950.0,0.7,,,,,0.725,0.4521,9500,105.469475,0.154882155,,,,
225,47,382,6750,6750,MediaTech Institute-Dallas,Dallas,TX,1,3,21.0,,,,,,,,,0.0,176.0,0.2898,0.4886,0.1818,0.0,0.0057,0.0,0.0341,0.0,0.0,0.0,,18507.0,0.9328,,0.9933,,,0.9328,0.3523,9500,105.469475,0.545977011,,0.829082278,,PrivacySuppressed
239,135,373,710,710,Intellitec College-Colorado Springs,Colorado Springs,CO,2,3,11.0,,,,,,,,,0.0,815.0,0.6503,0.1509,0.1534,0.0147,0.0074,0.0037,0.0,0.0,0.0196,0.0,,13930.0,0.965,,0.8537,,,0.7638,0.7141,18752,208.1856416,0.345736434,,0.824471809,30800,0.503086448
222,292,448,4416,4416,Gill-Tech Academy of Hair Design,Appleton,WI,1,3,22.0,,,,,,,,,0.0,113.0,0.7965,0.0796,0.0619,0.0177,0.0088,0.0,0.0177,0.0,0.0177,0.177,,10444.0,0.2525,,0.84,,0.8,0.3333,0.3363,9552.5,106.0523326,0.651515152,,0.844,19900,0.25
129,400,257,3308,3308,Oklahoma City Community College,Oklahoma City,OK,2,1,11.0,,,,,,,,,0.0,12594.0,0.5646,0.0857,0.0909,0.0383,0.0543,0.0032,0.0285,0.0639,0.0706,0.6353,6944.0,,0.425,,0.4424,,0.3099,0.2379,0.4038,9750,108.2449875,0.499193982,,0.16330122,33000,0.563845038
38,391,160,3106,3106,Cuyahoga Community College District,Cleveland,OH,2,1,11.0,,,,,,,,,0.0,14357.0,0.5361,0.3072,0.0504,0.0199,0.0075,0.0,0.0054,0.0166,0.0569,0.6125,5832.0,,0.4696,,0.4751,,0.3417,0.2578,0.4933,10335.5,114.7452378,0.420219853,,0.063685441,27600,0.411674827
240,128,324,6755,6755,Global Health College,Alexandria,VA,1,3,12.0,,,,,,,,,0.0,265.0,0.0302,0.2981,0.0528,0.0453,0.0,0.0,0.0075,0.3132,0.2528,0.6491,,38420.0,0.2929,,0.6452,,0.65,0.41,0.8453,14390,159.7584995,0.658536585,,0.607928904,,
223,215,197,2927,2927,Fayetteville Beauty College,Fayetteville,NC,1,3,12.0,,,,,,,,,0.0,47.0,0.0851,0.7447,0.1702,0.0,0.0,0.0,0.0,0.0,0.0,0.0213,,8711.0,0.7586,,0.5714,,,0.4483,0.5532,9500,105.469475,0.219178082,,0.5999552,13700,PrivacySuppressed
167,233,44,227,227,Associated Technical College-San Diego,San Diego,CA,1,3,11.0,,,,,,,,,0.0,110.0,0.1636,0.3818,0.4273,0.0091,0.0,0.0091,0.0,0.0,0.0091,0.0,,20138.0,0.9834,,,,,0.9448,0.5455,9500,105.469475,0.62962963,,0.70319863,19500,0.34523809
112,123,165,297,297,Cerro Coso Community College,Ridgecrest,CA,2,1,41.0,,,,,,,,,0.0,4029.0,0.5001,0.0494,0.3328,0.0345,0.0221,0.001,0.0541,0.0017,0.0042,0.7684,5413.0,,0.1763,,0.5764,,0.2866,0.0,0.5359,PrivacySuppressed,PrivacySuppressed,0.634615385,,0.196115385,24900,0.384920627
209,206,347,1978,1978,Michigan State University-College of Law,East Lansing,MI,4,2,13.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,PrivacySuppressed,,,PrivacySuppressed,PrivacySuppressed
196,170,143,505,505,Adrian's College of Beauty Modesto,Modesto,CA,1,3,12.0,,,,,,,,,0.0,275.0,0.2618,0.0655,0.4727,0.0545,0.0,0.0073,0.12,0.0,0.0182,0.0,,14768.0,0.7216,,0.8148,,,0.5081,0.28,10836,120.3018138,0.43373494,,0.586791698,14600,0.217391297
117,97,296,3921,3921,Baptist Health System School of Health Professions,San Antonio,TX,2,3,11.0,,,,,,,,,0.0,444.0,0.4279,0.0563,0.4257,0.0428,0.0113,0.018000000000000002,0.018000000000000002,0.0,0.0,0.0,,,0.5383,,,,,0.9333,0.455,19678,218.4661399,0.855153203,,,60800,PrivacySuppressed
310,160,198,6551,6551,Carlson College of Massage Therapy,Anamosa,IA,1,3,42.0,,,,,,,,,0.0,26.0,0.9615,0.0,0.0385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10935.0,0.5758,,,,,0.7576,0.6154,6702,74.4059391,0.85,,0.971414286,,
324,87,118,1876,1876,Massachusetts Maritime Academy,Buzzards Bay,MA,3,1,22.0,505.0,550.0,485.0,22.0,,,,1051.0,0.0,1362.0,0.9031,0.0169,0.0147,0.0264,0.0169,0.0,0.0,0.0051,0.0169,0.0213,16546.0,,0.18600000000000005,0.85,,,,0.7462,0.0363,27000,299.75535,0.919191919,0.639254118,,79500,0.841463387
304,48,24,5121,5121,Delta College Inc,Covington,LA,1,3,41.0,,,,,,,,,0.0,102.0,0.6961,0.2157,0.0588,0.0,0.0098,0.0,0.0196,0.0,0.0,0.0,,15592.0,0.6731,,0.7097,,,0.6648,0.2843,4916,54.5776778,0.608695652,,0.621076682,20300,0.32780084
164,398,491,5281,5281,Cosmetology Schools Inc,Stillwater,OK,1,3,32.0,,,,,,,,,0.0,18.0,0.8333,0.1111,0.0,0.0,0.0556,0.0,0.0,0.0,0.0,0.0,,7575.0,0.5357,,0.7273,,,0.6607,0.2222,PrivacySuppressed,PrivacySuppressed,0.358490566,,0.88713871,PrivacySuppressed,PrivacySuppressed
331,71,449,5409,5409,Adirondack Beauty School,Glens Falls,NY,1,3,13.0,,,,,,,,,0.0,24.0,0.9583,0.0,0.0,0.0,0.0,0.0,0.0417,0.0,0.0,0.0,,10194.0,0.7895,,0.9167,,,0.8684,0.25,8156.5,90.55387083,0.657894737,,0.717365217,PrivacySuppressed,PrivacySuppressed
234,288,378,3975,3975,University of Houston-Victoria,Victoria,TX,3,1,13.0,440.0,469.0,,19.0,17.0,19.0,,903.0,0.0,2879.0,0.4022,0.1657,0.3109,0.0705,0.0024,0.0024,0.0233,0.0149,0.0076,0.4915,9766.0,,0.4369,0.4781,,0.2222,,0.4932,0.5579999999999999,16844,187.0029302,0.829268293,,,39300,0.733333349
154,185,297,347,347,Marinello School of Beauty-San Mateo,San Mateo,CA,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,111.0205,0.41712404,,,,
219,213,317,6081,6081,Institute of Beauty Occupation and Technology Course,Moca,PR,1,3,21.0,,,,,,,,,0.0,52.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6060.0,1.0,,0.85,,,0.0,0.2308,,,,,0.966302247,,0.165803105
2,31,249,1620,1620,Empire Beauty School-Dixie,Louisville,KY,1,3,11.0,,,,,,,,,0.0,123.0,0.1789,0.748,0.0,0.0,0.0,0.0,0.0163,0.0,0.0569,0.1301,,12096.0,0.8545,,0.7826,,0.2,0.7136,0.3902,8275,91.86946375,0.669099757,,0.390740397,14800,0.224137932
115,321,517,558,558,San Francisco Art Institute,San Francisco,CA,3,2,11.0,540.0,505.0,535.0,25.0,27.0,22.0,,1061.0,0.0,468.0,0.4765,0.0192,0.1645,0.0534,0.0085,0.0043,0.0919,0.1261,0.0556,0.0598,,41414.0,0.3267,0.6543,,0.0,,1.0,0.2029,24000,266.4492,0.802955665,0.3039928,,24600,0.435114503
175,115,92,5831,5831,Miami Ad School-Minneapolis,Minneapolis,MN,1,3,11.0,,,,,,,,,0.0,18.0,0.8333,0.0556,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.069,,,,,0.7586,0.7222,24055.5,267.0653638,0.906504065,,,64700,0.857142866
267,309,216,5160,5160,University of Phoenix-Bay Area Campus,San Jose,CA,3,3,11.0,,,,,,,,,0.0,1374.0,0.1638,0.139,0.1703,0.0691,0.0051,0.0364,0.0357,0.016,0.3646,0.0,,19642.0,0.5353,0.4634,,,,0.6299,0.8464,35500,394.122775,0.406534043,0.135344954,,53400,0.705231071
120,23,195,5783,5783,Fortis College-Orange Park,Orange Park,FL,1,3,21.0,,,,,,,,,0.0,266.0,0.5564,0.2895,0.094,0.0226,0.0038,0.0,0.0226,0.0,0.0113,0.0,,18674.0,0.5526,,0.625,,,0.5994,0.4586,11833,131.3705577,0.409628378,,0.66357853,23500,0.379897773
282,241,159,7548,7548,SAE Institute of Technology-Los Angeles,Los Angeles,CA,1,3,11.0,,,,,,,,,0.0,225.0,0.3644,0.16,0.2044,0.0756,0.0,0.0178,0.0133,0.1067,0.0578,0.3644,,31154.0,0.5660000000000001,,0.8769,,0.7885,0.7509,0.3467,9500,105.469475,,,,,
291,306,379,6048,6048,Empire Beauty School-Midlothian,Midlothian,VA,1,3,21.0,,,,,,,,,0.0,145.0,0.3793,0.469,0.0621,0.0069,0.0069,0.0,0.0483,0.0,0.0276,0.2138,,14130.0,0.7639,,0.6739,,0.6364,0.7296,0.3793,8167,90.67044235,0.541509434,,0.5333,21200,0.311023623
127,67,490,252,252,Alliant International University-Sacramento,Sacramento,CA,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,22.2041,0.786259542,,,51800,0.814285696
74,325,269,4387,4387,West Virginia State University,Institute,WV,3,1,22.0,450.0,425.0,420.0,20.0,20.0,19.0,,942.0,0.0,2195.0,0.4615,0.1171,0.0055,0.0036,0.0055,0.0,0.0,0.0055,0.4014,0.1535,8505.0,,0.4612,0.5176,,0.5,,0.5265,0.3139,23787.5,264.0900144,0.599637681,0.20566383,,29500,0.449814141
29,311,279,124,124,Pima Medical Institute-Tucson,Tucson,AZ,1,3,11.0,,,,,,,,,0.0,1726.0,0.4334,0.0603,0.3917,0.0429,0.0139,0.0064,0.0365,0.0023,0.0127,0.0,,16972.0,0.4898,0.8056,,,,0.6147,0.6153,9498,105.4472709,0.614709852,0.657440957,,27600,0.512696266
83,111,81,5055,5055,Empire Beauty School-Brooklyn,Brooklyn,NY,1,3,11.0,,,,,,,,,0.0,63.0,0.2381,0.4603,0.2222,0.0476,0.0159,0.0,0.0159,0.0,0.0,0.0,,14043.0,0.9231,,,,,0.9231,0.4286,9522,105.7137201,0.473684211,,0.719990857,16900,0.275743693
279,52,234,4267,4267,Wards Corner Beauty Academy-Norfolk,Norfolk,VA,1,3,12.0,,,,,,,,,0.0,152.0,0.0395,0.9211,0.0263,0.0066,0.0,0.0,0.0066,0.0,0.0,0.0,,13819.0,0.9854,,0.8,,,1.0,0.6513,16500,183.183825,0.164335664,,0.176917308,17600,0.243654817
107,147,253,5286,5286,Johnson & Wales University-North Miami,North Miami,FL,3,2,21.0,,,,,,,,,0.0,1937.0,0.2039,0.2623,0.2385,0.0088,0.0021,0.001,0.0382,0.1172,0.128,0.0268,,21973.0,0.5593,0.6969,,0.25,,0.8251,0.0845,27000,299.75535,0.801117943,0.437258247,,35100,0.599495888
185,401,308,2957,2957,Meredith College,Raleigh,NC,3,2,11.0,515.0,520.0,,23.0,22.0,22.0,,1040.0,0.0,1543.0,0.722,0.1115,0.0324,0.0298,0.0052,0.0013,0.0279,0.0428,0.0272,0.0363,,22275.0,0.35200000000000004,0.7248,,1.0,,0.6871,0.0827,27000,299.75535,0.868360277,0.609594766,,38400,0.659420311
226,32,25,5138,5138,Vatterott College-Kansas City,Kansas City,MO,1,3,11.0,,,,,,,,,0.0,540.0,0.5741,0.3611,0.0426,0.0056,0.0019,0.0019,0.0056,0.0,0.0074,0.0,,17927.0,0.2687,,0.6119,,,0.2534,0.7519,23116,256.6349878,0.275681482,,0.550153884,28700,0.4401384
133,253,392,847,847,Florida Institute of Ultrasound Inc,Pensacola,FL,1,3,13.0,,,,,,,,,0.0,68.0,0.9265,0.0441,0.0,0.0294,0.0,0.0,0.0,0.0,0.0,0.0,,,0.4324,,,,,0.7027,0.5588,16000,177.6328,0.898876404,,,47900,0.741176486
184,133,495,6957,6957,Barone Beauty Academy,Williamsport,PA,1,3,13.0,,,,,,,,,0.0,56.0,0.9107,0.0714,0.0,0.0179,0.0,0.0,0.0,0.0,0.0,0.0,,16118.0,0.6163,,0.7368,,,0.6977,0.2857,9500,105.469475,PrivacySuppressed,,0.837234884,,
312,191,129,2119,2119,Crossroads College,Rochester,MN,3,2,12.0,,,,,,,,,0.0,97.0,0.6598,0.1546,0.0412,0.0515,0.0103,0.0,0.0,0.0309,0.0515,0.1031,,15762.0,0.6815,0.619,,0.0,,0.758,0.3069,27000,299.75535,0.786666667,0.396224528,,27900,0.483333319
44,392,276,6266,6266,Expression College for Digital Arts,Emeryville,CA,3,3,21.0,,,,,,,,,0.0,574.0,0.1951,0.0592,0.0662,0.0488,0.0,0.006999999999999999,0.0436,0.0035,0.5767,0.0,,25829.0,0.4768,0.8378,,,,0.6072,0.3955,40000,444.082,0.671052632,0.485641379,,,0.605898142
309,313,455,2641,2641,Corning Community College,Corning,NY,2,1,41.0,,,,,,,,,0.0,3229.0,0.8442,0.0703,0.0316,0.0065,0.013,0.0003,0.0,0.0012,0.0328,0.2995,6713.0,,0.3784,,0.5767,,0.3095,0.3711,0.2284,12500,138.775625,0.547075902,,0.313525235,31000,0.470849186
65,209,233,1553,1553,Wichita State University,Wichita,KS,3,1,11.0,525.0,550.0,,24.0,23.0,23.0,,1089.0,0.0,11198.0,0.6516,0.0597,0.0914,0.0695,0.0088,0.0016,0.0253,0.0561,0.036000000000000004,0.235,13342.0,,0.3595,0.7449,,0.3846,,0.5022,0.2883,21750,241.4695875,0.798867497,0.438987094,,39300,0.667185664
244,14,361,7100,7100,Victory Trade School,Springfield,MO,1,2,12.0,,,,,,,,,0.0,27.0,0.6667,0.1481,0.1852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4198.0,0.3077,,0.4444,,,0.0,0.7778,,,,,0.74,,
85,198,507,5559,5559,New York Institute of Massage Inc,Williamsville,NY,1,3,21.0,,,,,,,,,0.0,103.0,0.8544,0.0971,0.0194,0.0,0.0,0.0,0.0291,0.0,0.0,0.4369,,17034.0,0.3991,,0.4375,,0.5833,0.5275,0.8155,10207,113.3186244,0.781456954,,0.922101299,20700,0.396039605
186,44,228,303,303,San Diego Christian College,El Cajon,CA,3,2,21.0,505.0,490.0,478.0,21.0,20.0,21.0,7.0,986.0,0.0,889.0,0.3735,0.1541,0.1541,0.0169,0.0067,0.0101,0.0326,0.0045,0.2475,0.1057,,25314.0,0.6475,0.6829,,0.1111,,0.8793,0.4126,20249,224.8054105,0.840466926,0.421067836,,34400,0.561643839
70,332,309,2984,2984,Piedmont Community College,Roxboro,NC,1,1,41.0,,,,,,,,,0.0,1338.0,0.5949,0.3438,0.0247,0.0037,0.0045,0.0007,0.012,0.0,0.0157,0.4813,9878.0,,0.516,,0.6402,,0.4143,0.1407,0.4356,9500,105.469475,PrivacySuppressed,,0.482352643,23700,0.344186038
159,307,485,2457,2457,Bloomfield College,Bloomfield,NJ,3,2,21.0,405.0,430.0,,,,,,835.0,0.0,1906.0,0.1207,0.5058,0.2162,0.0378,0.0047,0.0026,0.0058,0.0341,0.0724,0.0782,,20718.0,0.6417,0.6347,,0.1667,,0.8211,0.2044,31000,344.16355,0.617252931,0.365656916,,39000,0.604767859
12,45,360,864,864,Gulf Coast State College,Panama City,FL,2,1,13.0,,,,,,,,,0.0,3643.0,0.7354,0.1156,0.0554,0.0266,0.0049,0.0,0.0327,0.0011,0.0283,0.5446,5057.0,,0.4284,,,,,0.1821,0.4253,6985,77.54781925,0.589350181,0.348882822,,29900,0.46069181
35,26,349,6552,6552,SOLEX Medical Academy,Wheeling,IL,1,3,21.0,,,,,,,,,0.0,17.0,0.5294,0.0588,0.3529,0.0588,0.0,0.0,0.0,0.0,0.0,0.5294,,14610.0,0.4412,,,,,0.5294,0.7059,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,,0.823544118,,
28,110,193,6251,6251,AmeriTech College-Draper,Draper,UT,2,3,21.0,,,,,,,,,0.0,1036.0,0.5328,0.3668,0.0531,0.0048,0.0097,0.0039,0.0106,0.0,0.0183,0.0,,32424.0,0.5858,,,,,0.6614,0.8098,24240,269.113692,0.793565684,0.7727,,23800,0.491525412
170,164,147,15,15,James H Faulkner State Community College,Bay Minette,AL,2,1,32.0,,,,,,,,,0.0,4182.0,0.7104,0.2176,0.0263,0.0072,0.0187,0.0012,0.0163,0.0007,0.0017,0.3867,7404.0,,0.4885,,0.5211,,0.3981,0.4042,0.2909,9153,101.6170637,0.590852905,,0.164098246,28900,0.433466136
